provider_name,channel,status,provider_status,provider_message,region_id,message_count,error_type
cellulant,mobile_money,failed,NULL,,5,11,provider_error
cellulant,mobile_money,failed,NULL,Checkout request not found,5,1,provider_error
flutterwave,bank_transfer,failed,error,Invalid Authorization Key,2,3,customer_error
honeycoin,mobile_money,failed,NULL,Amount limit violation,6,21,customer_error
honeycoin,mobile_money,failed,NULL,Currency not supported,6,8,provider_error
honeycoin,mobile_money,failed,NULL,External reference already used,6,1,customer_error
honeycoin,mobile_money,failed,NULL,Invalid mobile money operator ID,6,4,customer_error
honeycoin,mobile_money,failed,NULL,Provider not found,6,29,provider_error
honeycoin,mobile_money,failed,NULL,Request initiated,6,129,processing_error
honeycoin,mobile_money,failed,NULL,Validation failed,6,2,customer_error
hubtel,bank_transfer,failed,Unpaid,,2,4,provider_error
hubtel,bank_transfer,failed,provider_error,Payment verification failed,2,5,processing_error
hubtel,bank_transfer,failed,2001,Transaction Failed,2,3,processing_error
hubtel,bank_transfer,failed,provider_error,Unable to process transaction,2,4,processing_error
hubtel,card,failed,failed,Invalid card number,2,1,customer_error
hubtel,card,failed,PROCESSING_FAILED,Payment . Provider . Not . Found,2,4,processing_error
hubtel,card,failed,provider_error,Unable to process transaction,2,8,processing_error
hubtel,card,failed,failed,Verve card unsupported,2,1,customer_error
hubtel,mobile_money,failed,NULL,,2,321,provider_error
hubtel,mobile_money,failed,2001,Account locked after invalid PIN,2,1,customer_error
hubtel,mobile_money,failed,2001,"Cherished Customer , The Pin You Have Entered Is Not Correct . # Successive Wrong Entries Will Lock Your Account . Kindly Call # For Assistance . Thank You .",2,1,customer_error
hubtel,mobile_money,failed,NULL,Error Processing Payment,2,22,processing_error
hubtel,mobile_money,failed,NULL,Error Sending Otp,2,2,processing_error
hubtel,mobile_money,failed,2001,Exception Happened With Upstream Provider .,2,10,processing_error
hubtel,mobile_money,failed,2001,Generic failure response,2,1061,processing_error
hubtel,mobile_money,failed,2001,Insufficient funds notice,2,786,customer_error
hubtel,mobile_money,failed,2001,Invalid amount multiple,2,1,customer_error
hubtel,mobile_money,failed,NULL,Invalid phone number,2,6,customer_error
hubtel,mobile_money,failed,2001,MTN exception,2,37,provider_error
hubtel,mobile_money,failed,invalid_otp,OTP invalid,2,659,customer_error
hubtel,mobile_money,failed,NULL,Please Enter The One Time Password Sent To Your Phone,2,2975,customer_error
hubtel,mobile_money,failed,2001,Transaction Failed,2,311,processing_error
hubtel,mobile_money,failed,2001,Transaction Id Is Invalid,2,69,customer_error
hubtel,mobile_money,failed,2001,Transaction declined by issuing bank,2,1,customer_error
hubtel,mobile_money,failed,0001,Transaction pending,2,6,processing_error
hubtel,mobile_money,failed,provider_error,Unable to process transaction,2,4,processing_error
interswitch,card,failed,NULL,Error Processing Payment,1,34,processing_error
interswitch,card,failed,provider_error,Unable to process transaction,1,2,processing_error
korapay,bank_transfer,failed,NULL,,1,5,provider_error
korapay,card,failed,failed,Transaction Has Exceeded The Time Required To Pay,1,1,customer_error
ozow,eft,failed,INPROGRESS,,4,444,provider_error
ozow,eft,failed,provider_error,Unable to process transaction,4,1,processing_error
paystack,bank_transfer,failed,failed,,1,11,provider_error
paystack,bank_transfer,failed,failed,Account creation ongoing,1,4,processing_error
paystack,bank_transfer,failed,failed,Incorrect Amount Sent,1,867,customer_error
paystack,bank_transfer,failed,failed,No Managed Account Available,1,24,provider_error
paystack,bank_transfer,failed,abandoned,No transfer received,1,50,customer_error
paystack,bank_transfer,failed,failed,Pay With Transfer Is Not Currently Supported For Transactions Less Than Ngn# . #,1,11,customer_error
paystack,bank_transfer,failed,failed,Processing error,1,8,processing_error
paystack,bank_transfer,failed,provider_error,Unable to process transaction,2,518,processing_error
paystack,card,failed,failed,,2,776,provider_error
paystack,card,failed,failed,Cannot_Generate_Otp,1,9,customer_error
paystack,card,failed,failed,Do Not Honor,1,2,customer_error
paystack,card,failed,failed,Fellback-Bnf,1,45,provider_error
paystack,card,failed,failed,GTBank token required,1,3,customer_error
paystack,card,failed,failed,Generic failure response,1,84,processing_error
paystack,card,failed,failed,Incorrect Pin,1,33,customer_error
paystack,card,failed,failed,Insufficient funds notice,1,120,customer_error
paystack,card,failed,failed,Invalid card number,1,8,customer_error
paystack,card,failed,NULL,Invalid test card,1,4,customer_error
paystack,card,failed,NULL,Invalid token,1,1,customer_error
paystack,card,failed,failed,Invalid transaction,1,1,customer_error
paystack,card,failed,failed,"Lost Card , Pick-Up",1,6,customer_error
paystack,card,failed,failed,Merchant not enabled for international transactions,1,542,customer_error
paystack,card,failed,failed,Mobile Number Not Available,1,5,customer_error
paystack,card,failed,failed,No card record,1,20,provider_error
paystack,card,failed,failed,OTP entry required,1,14,customer_error
paystack,card,failed,failed,OTP sent prompt (enter code),1,349,customer_error
paystack,card,failed,failed,PIN tries exceeded,1,12,customer_error
paystack,card,failed,open_url,Payment verification failed,2,1,processing_error
paystack,card,failed,failed,Processing error,1,4,processing_error
paystack,card,failed,failed,State Not Found,2,2,customer_error
paystack,card,failed,failed,"Stolen Card , Pick-Up",1,2,customer_error
paystack,card,failed,failed,System Exception,1,1,processing_error
paystack,card,failed,failed,The Transaction Was Not Completed,1,1,provider_error
paystack,card,failed,failed,Token authentication failed,1,151,customer_error
paystack,card,failed,failed,Token generation prompt,1,387,provider_error
paystack,card,failed,failed,Token not generated,1,3,provider_error
paystack,card,failed,failed,Transaction declined,1,33,customer_error
paystack,card,failed,failed,Transaction error,1,155,processing_error
paystack,card,failed,failed,Transaction limit exceeded,1,6,customer_error
paystack,card,failed,failed,Transaction not allowed at terminal,1,2,customer_error
paystack,card,failed,failed,Transaction not found,1,1,provider_error
paystack,card,failed,failed,Transaction timed out,1,11,provider_error
paystack,card,failed,failed,Unable to process transaction,1,193,processing_error
paystack,card,failed,failed,Unable to retrieve customer details,1,23,processing_error
paystack,card,failed,failed,Verve card unsupported,1,29,customer_error
paystack,card,failed,failed,Your Payment Has Exceeded The Time Required To Pay,1,7,customer_error
paystack,mobile_money,failed,failed,,2,27,provider_error
paystack,mobile_money,failed,ongoing,Authorization in progress,2,11,processing_error
paystack,mobile_money,failed,failed,Declined . Please Use The Test Mobile Money Number Since You Are Doing A Test Transaction .,2,1,customer_error
paystack,mobile_money,failed,NULL,Invalid phone number,2,4,customer_error
paystack,mobile_money,failed,failed,Low_Balance_Or_Payee_Limit_Reached_Or_Not_Allowed,2,9,customer_error
paystack,mobile_money,failed,failed,Payer or payee limit reached,2,2,customer_error
paystack,mobile_money,failed,failed,Unable to perform transaction,2,12,processing_error
paystack,mobile_money,failed,provider_error,Unable to process transaction,2,3,processing_error
paystack,ussd,failed,ongoing,,1,2,provider_error
spotflow_accounts,bank_transfer,failed,failed,Generic failure response,1,1,processing_error
spotflow_accounts,bank_transfer,failed,not_found,Transaction not found,1,149,provider_error
spotflow_accounts,bank_transfer,failed,provider_error,Unable to process transaction,1,5,processing_error
spotflow_accounts,card,failed,failed,Expired Card,1,1,customer_error
spotflow_accounts,card,failed,failed,Invalid card number,1,1,customer_error
spotflow_accounts,card,failed,failed,Merchant not enabled for international transactions,1,9,customer_error
spotflow_accounts,card,failed,send_pin,Payment verification failed,1,19,processing_error
tembo_plus,mobile_money,failed,NULL,,6,22,provider_error
tembo_plus,mobile_money,failed,FAILED,Payment failed,6,81,provider_error
tembo_plus,mobile_money,failed,INPROGRESS,Payment processed (status mismatch),6,7,processing_error
tembo_plus,mobile_money,failed,provider_error,Unable to process transaction,6,2,processing_error
tembo_plus,mobile_money,failed,NULL,{Amount : \Amount\ Must Be Greater Than Or Equal To #},6,1,customer_error
